La Costituzione di uno Stato è|una fonte del diritto|un manifesto politico|sia una fonte del diritto sia un manifesto politico|nessuna delle precedenti affermazioni è corretta|3|1
Secondo la concezione prescrittiva, la Costituzione è|un atto normativo fondamentale che regge la collettività politica e la sua organizzazione, espressione di dati princìpi e norme fondamentali dell’ordinamento statale|il complesso delle regole fondamentali sull’organizzazione dei pubblici poteri e i rapporti fra di essi e gli individui, a prescindere dal contenuto|un mero manifesto di intenti|tutte le precedenti affermazioni sono corrette|1|1
Secondo la concezione descrittiva, la Costituzione è|atto normativo fondamentale che regge la collettività politica e la sua organizzazione, espressione di dati princìpi e norme fondamentali dell’ordinamento statale|il complesso delle regole fondamentali sull’organizzazione dei pubblici poteri e i rapporti tra di essi e gli individui, a prescindere dal contenuto|un mero manifesto di intenti|tutte le precedenti affermazioni sono corrette|2|1
Lo Stato di diritto è caratterizzato|dalla applicazione della divisione dei poteri|dall’affermazione del principio di legalità|dalla tutela dei diritti dell’uomo|tutte le precedenti affermazioni sono corrette|4|1
Nello Stato di diritto liberale/borghese, il primato della legge comportava|l’assenza di limiti alla legge|che le libertà fossero concesse dalla legge|che il giudice “bocca della legge” ne garantisce l’applicazione|tutte le precedenti affermazioni sono corrette|4|1
La Costituzione di Weimar del 1919|rappresenta una nuova concezione di Costituzione|supera la concezione negativa della libertà|riconosce un catalogo di diritti sociali|tutte le precedenti affermazioni sono corrette|4|1
L’attribuzione alla Costituzione del primato nella gerarchia delle fonti caratterizza|lo Stato di diritto|lo Stato sociale|lo Stato costituzionale|tutte le precedenti affermazioni sono corrette|3|1
Lo Statuto albertino si ispira al modello|della monarchia inglese|della monarchia costituzionale francese|della monarchia assoluta francese|nessuna delle precedenti affermazioni è corretta|2|1
Lo Statuto albertino è una costituzione|rigida|flessibile|non derogabile mediante semplice legge ordinaria|nessuna delle precedenti affermazioni è corretta|2|1
La legge Acerbo prevedeva|l’istituzione del Gran Consiglio del Fascismo|la modifica del sistema elettorale|la sostituzione della Camera dei Deputati con la Camera dei fasci e delle corporazioni|tutte le precedenti affermazioni sono corrette|2|1
La “questione istituzionale” fu posta|dal Comitato di liberazione nazionale|dal Governo Badoglio|dal Re Vittorio Emanuele III|tutte le precedenti affermazioni sono corrette|1|1
L’assemblea costituente si riunisce la prima volta il giorno|12 aprile 1944|2 giugno 1946|25 giugno 1946|1 gennaio 1948|3|1
L’Assemblea Costituente elesse come suo primo Presidente|Alcide De Gasperi|Giuseppe Saragat|Pietro Nenni|Enrico De Nicol|2|1
L’assemblea costituente elesse Capo provvisorio dello Stato|Alcide De Gasperi|Giuseppe Saragat|Umberto Terracini|Enrico De Nicola|4|1
La Costituzione italiana è|elastica|programmatica|lunga|tutte le precedenti affermazioni sono corrette|4|1
La cittadinanza|può essere originaria, quando si nasce da un genitore italiano (ius sanguinis)|può essere derivata, per esempio quando un cittadino italiano adotti un minore cittadino straniero|conferisce un catalogo di diritti e doveri politici|tutte le precedenti affermazioni sono corrette|4|2
La “forma di stato”, secondo la dottrina giuridica italiana, descrive|il rapporto che intercorre tra autorità e società|il modo in cui il potere politico è distribuito tra gli organi costituzionali|il divenire dello Stato-governo, individuando tra i suoi organi costituzionali chi detiene il potere di indirizzo politico|tutte le precedenti affermazioni sono corrette|1|2
La “forma di governo”, secondo la dottrina giuridica italiana, descrive|il rapporto che intercorre tra autorità e società|il modo in cui il potere politico è distribuito tra gli organi costituzionali|il fine fondamentale che l’organizzazione politica si propone di realizzare rispetto alla comunità|tutte le precedenti affermazioni sono corrette|2|2
La Magna Carta Libertatum fu concessa da Re Giovanni Plantageneto, detto Senzaterra, nel|1215|1689|1948|1789|1|2
Nella Dichiarazione di Indipendenza, fatta a Philadelphia il 4 luglio 1776|, non è affermata la separazione dei poteri|l’uguaglianza degli uomini|la libertà come diritto inalienabile dell’uomo|nessuna delle precedenti affermazioni è corretta|1|2
Nella Dichiarazione francese dei Diritti dell’Uomo e del Cittadino è affermato|il principio di legalità|il principio della separazione dei poteri|il riconoscimento dei diritti naturali, inalienabili e sacri dell’uomo|tutte le precedenti affermazioni sono corrette|4|2
In Italia, le prime elezioni politiche a suffragio universale si sono svolte|nel 1948|nel 1919|nel 1946|nel 1848|1|2
Il voto ex art. 48, comma 2, Cost. è|personale ed eguale|libero e segreto|dovere civico|tutte le precedenti affermazioni sono corrette|4|2
In Italia, il primo partito di massa, fondato nel 1892, è stato|il Partito dei lavoratori|la Democrazia Cristiana|Forza Italia|nessuna delle precedenti affermazioni è corretta|1|2
Lo Stato sociale è caratterizzato|dall’allargamento del catalogo dei diritti|dalla consapevolezza che i diritti sociali non si pongono in antitesi ai diritti civili|dalla consapevolezza che i diritti sociali rappresentano il mezzo per garantire l’effettivo godimento dei diritti civili|tutte le precedenti affermazioni sono corrette|4|2
Le forme di governo miste|tendono a coniugare i vantaggi della democrazia immediata con quelli della democrazia mediata|esaltano solamente i vantaggi della democrazia mediata|prevedono un’iniziale investitura parlamentare attraverso le mozione di fiducia|nessuna delle precedenti affermazioni è corretta|1|2
I sistemi proporzionali tendono|a garantire la rappresentanza nell’organo elettivo di tutte le liste partecipanti alla competizione elettorale|ad assegnare il seggio al candidato che ottiene la maggioranza dei voti espressi nel collegio uninominale|ad impedire ai partiti politici minori di conseguire una quota di seggi proporzionata ai voti effettivamente ricevuti|tutte le precedenti affermazioni sono corrette|1|2
